country,province_state_region,cultural_norm_etiquette,language,major_ed,major_e_name,food_culture,important_sites,religious_practices,taboos
Timor-Leste,Aileu,"Deep respect for elders and local traditions","Tetum, Mambai",20/08/2024,Aileu Culture Festival,"Cassava-based dishes","Cristo Rei de Aileu","Catholic with animist rituals","Avoid criticizing local customs or interrupting elders"
Timor-Leste,Ainaro,"Respect for nature and sacred sites","Tetum, Mambai",01/05/2024,Mount Ramelau Pilgrimage,"Corn-based dishes, goat stew","Mount Ramelau","Catholic devotion with pilgrimages","Avoid climbing Mount Ramelau without permission or during rituals"
Timor-Leste,Baucau,"Emphasis on family bonds","Tetum, Makasae",15/11/2024,Baucau Independence Day Celebration,"Rice with fish, traditional curries","Venilale caves, Baucau Beach","Catholicism with local traditions","Avoid touching sacred items or questioning spiritual beliefs"
Timor-Leste,Bobonaro,"Hospitality to strangers","Tetum, Kemak",10/07/2024,Marobo Hot Springs Festival,"Wild greens, fermented foods","Marobo Hot Springs","Catholic with animist rituals","Avoid disrupting healing rituals at sacred springs"
Timor-Leste,Covalima,"Respect for elders and traditional leaders","Tetum, Bunak",25/12/2024,Christmas Boat Parade,"Coconut-infused dishes, seafood","Suai Church, Tais weaving centers","Catholic Christmas celebrations","Avoid entering homes without formal invitation"
Timor-Leste,Dili,"Formality in business settings","Tetum, Portuguese",20/05/2024,Independence Day Parade,"International cuisine alongside local flavors","Cristo Rei, Government Palace","Catholicism with public processions","Avoid political criticism in public"
Timor-Leste,Ermera,"Strong work ethics in farming communities","Tetum, Mambai",01/10/2024,Coffee Festival,"Coffee-based desserts, corn dishes","Coffee plantations, Hatolia Valley","Catholic faith with agricultural blessings","Avoid disrespecting agricultural practices"
Timor-Leste,Lautem,"Harmony with nature and respect for elders","Tetum, Fataluku",18/04/2024,Jaco Island Cultural Day,"Fish dishes, tropical fruits","Jaco Island, Lospalos","Catholic faith with animist influences","Avoid littering or damaging nature on Jaco Island"
Timor-Leste,Liquiçá,"Strong sense of community","Tetum, Tocodede",30/06/2024,Liquiçá Peace Day,"Coconut and rice dishes","Maubara Fort","Catholicism with community feasts","Avoid discussing past conflicts openly"
Timor-Leste,Manatuto,"Respect for local chiefs","Tetum, Galoli",05/03/2024,Coastal Fishermen’s Festival,"Grilled fish, shellfish","Lagoons, coastline","Catholicism with fishing-related blessings","Avoid disputes during ceremonies"
Timor-Leste,Manufahi,"Preservation of oral traditions","Tetum, Mambai",21/09/2024,Traditional Storytelling Day,"Stews, maize dishes","Betano Beach","Catholic faith with storytelling rituals","Avoid interrupting storytelling sessions"
Timor-Leste,Oecusse,"Strong communal traditions","Tetum, Baikeno",15/08/2024,Sacred House Festival,"Root vegetables, goat dishes","Lifau, Portuguese landing site","Blend of Catholic and animist traditions","Avoid questioning sacred practices"
Timor-Leste,Viqueque,"High regard for local myths and legends","Tetum, Makasae",10/06/2024,Water Buffalo Festival,"Rice, wild greens","Uato-Lari caves","Catholic faith mixed with animist beliefs","Avoid questioning mythical tales"
Timor-Leste,Atauro,"Strong focus on eco-tourism","Tetum, Dadu’a",25/09/2024,Atauro Marine Festival,"Seafood, coconut rice","Coral reefs, marine sanctuaries","Purely Catholic with environmental focus","Avoid disturbing marine life"
Laos,Attapeu,"Respect for elders and communal harmony","Lao, Jru' (Loven)",01/12/2024,That Inhang Festival,"Sticky rice, fish dishes","Xe Pian National Protected Area","Predominantly Theravada Buddhism with animist practices","Avoid touching someone's head or pointing feet at people or religious objects"
Laos,Bokeo,"Hospitality towards guests and community involvement","Lao, Khmu, Akha",15/11/2024,Boun Suang Heua (Boat Racing Festival),"Khao soi (noodle soup), river fish","Golden Triangle, Gibbon Experience","Theravada Buddhism with ethnic spiritual traditions","Avoid public displays of affection and inappropriate attire in sacred places"
Laos,Bolikhamsai,"Emphasis on family values and respect for nature","Lao, Phuan",20/10/2024,Boun Bang Fai (Rocket Festival),"Laap (minced meat salad), bamboo shoots","Nam Kading National Biodiversity Conservation Area","Theravada Buddhism with local animist beliefs","Avoid loud behavior near temples and sacred sites"
Laos,Champasak,"Politeness and adherence to traditional customs","Lao, Alak, Katu",13/04/2024,Pi Mai Lao (Lao New Year),"Olam (vegetable stew), grilled fish","Wat Phu, Si Phan Don (4000 Islands)","Theravada Buddhism with animist influences","Avoid stepping over food or sitting with feet pointing towards people"
Laos,Houaphanh,"Community solidarity and respect for elders","Lao, Hmong, Khmu",02/12/2024,National Day Celebrations,"Sticky rice, wild game dishes","Viengxay Caves, Hintang Archaeological Park","Theravada Buddhism with strong animist traditions","Avoid discussing sensitive historical topics openly"
Laos,Khammouane,"Generosity and respect for guests","Lao, Phuan, Tai",25/11/2024,That Sikhottabong Festival,"Khao poon (spicy noodle soup), river fish","Kong Lor Cave, Tham Nang Aen Cave","Theravada Buddhism with local spiritual practices","Avoid touching religious artifacts without permission"
Laos,Luang Namtha,"Emphasis on community and traditional lifestyles","Lao, Akha, Tai Dam",05/12/2024,Boun That Xieng Teung,"Khao soi, herbal teas","Nam Ha National Protected Area","Theravada Buddhism with ethnic minority spiritual practices","Avoid photographing people without consent, especially in villages"
Laos,Luang Prabang,"Politeness, humility, and respect for traditions","Lao, Khmu, Hmong",13/04/2024,Pi Mai Lao (Lao New Year),"Or lam (spicy stew), sai oua (Lao sausage)","Wat Xieng Thong, Kuang Si Falls","Theravada Buddhism with daily alms-giving ceremonies","Avoid loud behavior and improper attire in temples"
Laos,Oudomxay,"Community cohesion and respect for elders","Lao, Khmu, Hmong",15/11/2024,Boun Ok Phansa (End of Buddhist Lent),"Sticky rice, bamboo shoot soup","Chom Ong Cave, Nam Kat Waterfall","Theravada Buddhism with animist practices","Avoid entering homes without invitation and removing shoes before entering"
Laos,Phongsaly,"Strong sense of community and preservation of traditions","Lao, Akha, Khmu",01/12/2024,Boun Kin Chiang (Rice Harvest Festival),"Wild mushroom dishes, herbal teas","Phou Den Din National Protected Area","Theravada Buddhism with animist beliefs","Avoid pointing feet at people or religious objects"
Laos,Savannakhet,"Hospitality and respect for cultural heritage","Lao, Phu Tai, Brou",13/04/2024,Pi Mai Lao (Lao New Year),"Fermented fish dishes, sticky rice","That Ing Hang Stupa, Dinosaur Museum","Theravada Buddhism with local traditions","Avoid public displays of affection and inappropriate attire in sacred places"
